Strain,Group
AB5075-VUB,1
AB169-VUB,1
AB227-VUB,1
AB229-VUB,1
AB232-VUB,1
AB177-VUB,2
AB186-VUB,2
AB21-VUB,3
AB40-VUB,3
AB179-VUB,4
AB32-VUB,5
DSM30011-VUB,6
ATCC17978-VUB,7
ATCC19606-VUB,8
AB176-VUB,9
AB188-VUB,9
AB20-VUB,9
AB187-VUB,9
AB14-VUB,9
AB9-VUB,9
AB231-VUB,10
AB181-VUB,11
AB3-VUB,11
AB171-VUB,11
AB172-VUB,11
AB36-VUB,11
AB175-VUB,11
AB212-VUB,11
AB193-VUB,11
AB213-VUB,11
AB173-VUB,11
AB226-VUB,11
AB183-VUB,11
AB180-VUB,11
AB214-VUB,11
AB233-VUB,11
AB217-VUB,11
AB224-VUB,11
AB194-VUB,11
AB16-VUB,11
AB220-VUB,11
AB216-VUB,11
AB219-VUB,11
AB189-VUB,11
AB222-VUB,11
AB167-VUB,11
AB39-VUB,11
